
# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new                              Nova
codex_option_events                     Events
codex_tooltip_events                    Causes events to occur during the game to keep you on your toes. Adds extra challenge and an element of unpredictability. 
codex_option_weather                    Weather and Temperature
codex_tooltip_weather                   Adds changing weather and varying temperatures to your prison, requiring you to think about heating.

codex_option_funds                      Funds
codex_tooltip_funds                     You will start with this much money in your bank account. Sell your established prisons from the Valuation screen to start with more funds.

codex_transfer							Transfer
codex_transferring						Transferring
codex_in_prison							Currently Incarcerated
codex_unavailable                       Unavailable
codex_useravatar                        This is me
codex_tooltip_useravatar                Mark this prisoner as your own entry. If you should somehow end up in prison yourself, this is the prisoner that will represent you.
codex_tooltip_flagbio                   Report this bio as objectionable or offensive.

codex_workshop_current					Current Prison
codex_workshop_publish					Publish this prison
codex_workshop_update					Update
codex_workshop_play						Play
codex_workshop_downloading				Downloading
codex_workshop_download_failed			Download Failed
codex_workshop_publishing				Publishing...
codex_workshop_new						NEW
codex_workshop_title					Title
codex_workshop_desc						Description
codex_workshop_view_in_workshop			View in Steam Workshop
codex_workshop_heading_pubed			Your published prisons
codex_workshop_heading_subed			Subscribed prisons
codex_workshop_published_by				Published by *P
codex_workshop_published_by_you			Published by you
codex_workshop_published_good			Prison Published
codex_workshop_published_good_msg		Your prison has been published successfully.
codex_workshop_published_bad			Failed To Publish Prison
codex_workshop_published_bad_msg		Your prison failed to publish.
codex_workshop_published_bad_msg_new	Your new prison has failed to publish. Please try again.
codex_workshop_busy						Some magic is already happening with Steam. Please wait for that to finish first, then try again.
codex_workshop_file_exists				You've already published a prison with this name. Please pick a different name.
codex_workshop_generic_fail				Failed to publish your prison. Please try again.
codex_workshop_download_bad				Failed To Download Prison
codex_workshop_pa_workshop				Open Prison Architect Workshop
codex_workshop_agreement				By submitting this item, you agree to the [url=http://steamcommunity.com/sharedfiles/workshoplegalagreement]workshop terms of service[/url].

codex_options_timelapse					Time Lapse
codex_timelapse_record					Record Time Lapse
codex_timelapse_stop					Stop Time Lapse
codex_timelapse_camera					Camera Mode
codex_timelapse_resolution				Resolution
codex_timelapse_customresw				Custom Res Width
codex_timelapse_customresh				Custom Res Height
codex_timelapse_resolution				Resolution
codex_timelapse_fps						Playback Rate
codex_timelapse_interval				Capture Interval
codex_timelapse_quality					Quality
codex_timelapse_unsupported				This feature is unavailable on your hardware.
codex_timelapse_savesettings			Save Settings

codex_timelapse_cam_zoom                Zoom Camera
codex_timelapse_cam_fitmap              Fit Map
codex_timelapse_cam_fitheight           Fit Map Height
codex_timelapse_cam_fitwidth            Fit Map Width
codex_timelapse_fps_value               *X FPS
codex_timelapse_quality_high            High
codex_timelapse_quality_med             Medium
codex_timelapse_quality_low             Low
codex_timelapse_interval_value          *X Game Minutes
timelapse_caption                       Timelapse recording length *X:*Y, *Z frames recorded, backlog: *T

codex_performance_running				Performance Test Running
codex_performance_time					Time Left: *Ts
codex_performance_current				Current Frame Time: *Tms
codex_performance_min					Min Frame Time: *Tms
codex_performance_avg					Average Frame Time: *Tms
codex_performance_max					Max Frame Time: *Tms
codex_performance_numframes				Num Frames: *T

codex_last_modified						Last Modified: *T
codex_sortbydesc						Sort By Date
codex_sortname							Name
codex_sortdate							Date
codex_apply								Apply
codex_select                            Select

codex_mods								Mods
codex_mod_activetitle					Active Mods
codex_mod_inactivetitle					Available Mods
codex_mod_deactivate					Deactivate all mods
codex_mod_wiki							Find more mods (Wiki)
codex_mod_openmodsfolder				Open Mods Folder
codex_mod_moresteammods					Find more mods (Steam Workshop)
codex_mod_findsteamtranslations         Find more translations (Steam Workshop)
codex_authortitle                       Author
codex_versiontitle                      Version
codex_datetitle                         Date
codex_urltitle                          URL
codex_typetitle							Type
codex_mod_graphicsandsound				Graphics and Sounds
codex_mod_translation					Translation
codex_mod_scenario						Scenario
codex_mod_content						Content
codex_mod_load_scenario					Play Scenario
codex_publishmod						Publish This Mod

codex_mod_update						Update This Mod
codex_mod_published_good				Mod Published
codex_mod_published_good_msg			Your mod has been published successfully.
codex_mod_published_bad					Failed To Publish Mod
codex_mod_published_bad_msg				Your mod failed to publish.
codex_mod_modsupdated					Mods Updated
codex_mod_modsupdated_msg				Some of your active mods have been updated. Click OK to apply the new changes. Your game will be autosaved.
codex_mod_translationcaption            Is this a translation to another language?

codex_language                          Language
codex_language_englishdefault           English (Default)
codex_language_default                  Default Language
codex_language_download                 Download
codex_language_failed_download          Failed To Download Translation
codex_language_failed_download_msg      Your selected translation has failed to download.
codex_language_searching_workshop       Searching Steam Workshop
codex_language_community                This translation is created and maintained by the community - Thank You!

codex_polaroids_new                     NEW

codex_save_confirm                      Are you sure you wish to overwrite *X with the current prison?
codex_researtchapter_confirm            Are you sure you wish to restart the current chapter? Unsaved progress will be lost.

codex_premadeprisons                    Premade Prisons

codex_trending_more                     ...
codex_sortbycaption                     Sort By:
codex_trending_oneday                   One Day
codex_trending_oneweek                  One Week
codex_trending_threemonths              Three Months
codex_trending_sixmonths                Six Months
codex_trending_oneyear                  One Year
codex_trending_alltime                  All Time
codex_trending_failedtogetlist          Failed to get prison list
codex_trending_failedtogetlist_msg      Failed to get the list of trending prisons.

codex_settings                          Map Settings
codex_settings_gangs                    Enable Gangs
codex_settings_events                   Enable Events
codex_settings_weather                  Enable Weather
codex_settings_confirm                  Once enabled, this setting cannot be deactivated. Are you sure you wish to enable *X?

# =============================================================================
# Graphics Change Confirmation
# =============================================================================

graphicschange_message					Do you wish to keep these graphics options? These changes will revert in
graphicschange_time						seconds.
graphicschange_accept					Accept
graphicschange_revert					Revert

# =============================================================================
# Script
# =============================================================================

scriptdebugger_title                    Script Debugger (F3)

# =============================================================================
# Mod Confirmation
# =============================================================================

modnotification_title                   Mod Differences Found
modnotification_info                    These mods were used when the current prison was saved. We highly recommend downloading and activating them before playing this prison.
modnotification_playnow                 Play Now
modnotification_active                  Active
modnotification_inactive                Inactive
modnotification_new                     New
modnotification_unknown                 Unknown
modnotification_popup_title             Mod difference
modnotification_popup_active            This mod is currently active. Click to deactivate.
modnotification_popup_inactive          This mod is currently inactive. Click to activate.
modnotification_popup_new_url           This is a new mod. Click to open it's link in a web browser.
modnotification_popup_new_steam         This is a new steam mod. Click to subscribe to and download the mod now.
modnotification_popup_unknown           We were unable to determine where this mod came from. Please find and install this mod yourself.

# =============================================================================
# Biography
# =============================================================================

biography_search                        Stop and Search
biography_selected                      SELECTED
biography_prisoner_name                 *S, *F
biography_prisoner_number               Prisoner #*X
biography_prisoner_age                  Age : *X
biography_prisoner_traits               Traits  :
biography_prisoner_convicted            Convicted of *C (pleaded *P)
biography_prisoner_sentenced            Sentenced to *X years in jail
biography_parole_now                    Eligible for parole now
biography_parole_later                  Eligible for parole after *X years
biography_prisoner_served               Served *X years
biography_prisoner_priors               Priors: 


# =============================================================================
# Rap Sheet
# =============================================================================

rapsheet_age							Age:
rapsheet_category						Category:
rapsheet_traits							Known Traits:
rapsheet_conviction_text				*C - *Y years
rapsheet_found_text						(Plea: *P)
rapsheet_convictions					Convictions
rapsheet_misconductstitle				Recent Misconduct
rapsheet_biography                      Biography
rapsheet_guilty							Guilty
rapsheet_notguilty						Not guilty
rapsheet_served							Served
rapsheet_served_time					Served *Y years
rapsheet_time							*Y years
rapsheet_bio							Sentenced to *Y years for *A.
rapsheet_bio_med						Sentenced to *Y years for multiple crimes including *A, and *B.
rapsheet_bio_long						Sentenced to *Y years for multiple crimes including *A, *B, and *C.
rapsheet_category_minsec				Minimum Security
rapsheet_category_normal				Normal Security
rapsheet_category_maxsec				Maximum Security
rapsheet_category_protected             Protective Custody
rapsheet_category_supermax              SuperMax
rapsheet_category_deathrow              Death Row
rapsheet_tab_biography                  Biography
rapsheet_tab_experience                 Experience
rapsheet_tab_grading                    Grading
rapsheet_tab_character                  Character
rapsheet_punish                         Punish
rapsheet_recruit                        Recruit Informant

rapsheet_timeinside                     *X days in your prison
rapsheet_timeinside_hours               *X hours in your prison
rapsheet_mood                           Mood
rapsheet_activity                       Activity
rapsheet_condition                      Condition
rapsheet_program                        Program
rapsheet_passchance                     Success Chance
rapsheet_reformhistory                  Reform Program History

rapsheet_reform_success                 Success
rapsheet_reform_successcount            Completed *X times
rapsheet_reform_failed                  Failed
rapsheet_reform_failcount               Failed *X times

rapsheet_grading_punishment             Punishment
rapsheet_grading_health                 Health
rapsheet_grading_security               Security
rapsheet_grading_reform                 Reform
rapsheet_grading_points                 *X points : 
rapsheet_grading_penalties              *X penalties : 

rapsheet_scheduleexecution              Schedule Execution


punish_lockdown_6                       Lockdown (6hrs)
punish_lockdown_12                      Lockdown (12hrs)
punish_lockdown_24                      Lockdown (24hrs)
punish_solitary_6                       Solitary (6hrs)
punish_solitary_12                      Solitary (12hrs)
punish_solitary_24                      Solitary (24hrs)
punish_solitary_perm                    Solitary (Permanent)
punish_lockdown_perm                    Lockdown (Permanent)
punish_solitary                         Solitary
punish_lockdown                         Lockdown
punish_none                             None
punish_timer                            *Xh *Ym
punish_timer_minutes                    *Xm
punish_active                           ACTIVE
punish_permanent                        (Permanent)
punish_end                              End Punishment

# =============================================================================
# Misconducts
# =============================================================================

misconduct_reporttype_none                  None
misconduct_reporttype_complaint             Complaint
misconduct_reporttype_destruction           Destruction
misconduct_reporttype_escapeattempt         Escape Attempt
misconduct_reporttype_injuredprisoner       Attacked Prisoner
misconduct_reporttype_injuredstaff          Attacked Staff
misconduct_reporttype_seriousinjury         Serious Injury
misconduct_reporttype_murder                Murder
misconduct_reporttype_contrabandweapons     Found Weapons
misconduct_reporttype_contrabandtools       Found Tools
misconduct_reporttype_contrabandnarcotics   Found Drugs
misconduct_reporttype_contrabandluxuries    Found Luxuries
misconduct_reporttype_intoxicated           Intoxication
misconduct_title                            =[Misconduct]=

misconduct_report_addiction                 Addicted to *X
misconduct_report_recoving                  Recovering from *X addiction
misconduct_report_alcoholic                 Alcoholic
misconduct_report_recovingalcoholic         Recovering alcoholic


# =============================================================================
# Research Names + Captions
# =============================================================================

research_required                       You need a *X to prepare this report.
research_requireunlock                  You need to research '*X' to unlock this report
research_approved                       APPROVED
research_cost                           Cost: *X
research_costperitem                    + *X per item.
research_timetounlock                   Time to unlock : *X hours
research_movementpenalty                Movement Penalty: *X%
research_protectionbonus                Protection: *X%
research_tap_to_authorise               TAP TO AUTHORISE

research_none                           None
research_warden                         Warden
research_maintainance                   Maintenance
research_security                       Security
research_legal                          Legal
research_mentalhealth                   Psychology
research_finance                        Finance
research_landexpansion                  Land Expansion
research_cctv                           Surveillance
research_riotguards                     Riot Guards
research_health                         Health
research_cleaning                       Cleaning
research_groundskeeping                 Grounds Keeping
research_clone                          Clone
research_deployment                     Deployment
research_patrols                        Patrols
research_dogs                           Dogs
research_prisonlabour                   Prison Labour
research_education                      Education
research_contraband                     Intelligence
research_policy                         Prison Policy
research_armoury                        Armoury
research_bodyarmour                     Body Armour
research_tazers                         Tazers
research_tazersforeveryone              Tazer Rollout
research_bankloans                      Bank Loan
research_lowertaxes1                    Tax Relief
research_lowertaxes2                    Offshore Tax Haven
research_remoteaccess                   Remote Access
research_extragrant                     Extra Grant
research_advancedmanagement             Micromanagement
research_deathrow                       Death Row
research_permanentpunishment            Permanent Punishments
research_removemincellsize              Small Cells
research_reduceexecutionliability       Reduce Execution Liability
research_legalprep                      Legal Prep
research_legaldefense                   Legal Defense
research_guardtowers                    Guard Towers

researchtooltip_warden                  Unlocks the Warden, and the entire Bureaucracy system.  Hire him from the Staff toolbar.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_security                Unlocks the Chief of Security, who can be hired from the staff toolbar.  The chief gives you access to the Deployment screen, and will also give you a realtime report of the danger level of your prison, often predicting future trouble.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_maintenance             Unlocks the Foreman.  Hire him from the Staff toolbar.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_legal                   Unlocks the Lawyer, who can be hired from the Staff toolbar. Unlocks a number of research options to give you greater control over your prison.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_deployment              Allows you to permanently station Guards to the sectors of your Prison.
researchtooltip_patrols                 Allows you to define patrols around crucial areas of your prison (eg the perimeter), and assign guards to walk those patrols.
researchtooltip_dogs                    Unlocks the Dog Handler and Guard Dog.  They excel in sniffing out the smelly contraband in your prison, and detecting escape tunnels.\n\nDogs are also very fast which allows them to chase prisoners with ease. 
researchtooltip_cctv                    Unlocks CCtv cameras and security monitors.  Use these to keep watch on unmanned parts of your prison.\n\nAlso unlocks the Phone Tap system, which allows you to listen in on prisoner phone calls and gain vital intelligence.
researchtooltip_remoteaccess            Unlocks high-tech equipment for remote control and automation of doors. Doors can be opened remotely using a Door Control System (operated by a Guard), or opened by a Door Timer at specific times of day.
researchtooltip_riotguards              (CURRENTLY SERVES NO PURPOSE)\nUnlocks the Riot Guard.  These guys are armoured and better able to deal with violent situations.
researchtooltip_maintainance            Unlocks the Foreman.  He allows you to do further research on things like Prison Labour, or additional staff members like the Gardener.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_clone                   Unlocks the clone tool on the main toolbar.  Use this tool to rapidly duplicate areas of your prison, such as Cells.  To use, select a zone to be copied with a right mouse drag, then left click to stamp down a copy.
researchtooltip_groundskeeping          Unlocks the Gardener.  He will keep your outdoor areas tidy.
researchtooltip_cleaning                Unlocks the Janitor.  He will clean all the indoor areas of your prison and can also help with the prison laundry service.
researchtooltip_health                  Unlocks the Doctor, along with the Infirmary and the Morgue.  Injured prisoners and staff will be taken to the Infirmary and Doctors will patch them up.
researchtooltip_MentalHealth            Unlocks the Psychologist, providing you with a valuable insight into your Prisoner's internal psychological state at all times.\n\nLike all Administrators, he requires an office to work.  
researchtooltip_finance                 Unlocks the Accountant, which gives access to the financial report for your Prison.\n\nAlso allows you to spend more each day than your income would normally allow, assuming you have the funds in reserve.\n\nLike all Administrators, she requires an office to work.  
researchtooltip_landexpansion           Authorises you to purchase neighbouring plots of land, and thereby expand the size of your prison beyond its initial bounds.
researchtooltip_prisonlabour            Allows you to put your prisoners to work around your prison (Cooking, Cleaning etc), saving you on staff wages, earning you money, and teaching your prisoners new skills at the same time.\n\nAlso Unlocks the Workshop and the Laundry.
researchtooltip_education               Unlocks the ability to run educational reform programs for your prisoners, using externally hired teachers. 
researchtooltip_contraband              Training for your Guards to become better at tracking and recovering contraband. Unlocks the contraband Supply and Demand report, the Contraband overlay (showing all possible theft locations within your prison), and tracks all recovered contraband back to where it was smuggled or stolen.\n\nAlso unlocks the ability to recruit prisoners as Confidential Informants.\n\nAlso unlocks the gang intelligence view.
researchtooltip_policy                  Unlocks the Policy Report, allowing you to increase and decrease the punishments for all types of misconduct, as well as automatically triggering searches of the misbehaving prisoner and their cell.\n\nAlso allows you to control the nutritional policy, changing the quantity and variety of food served to prisoners. 
researchtooltip_armoury                 Unlocks the armoury room, and allows you to deploy armed guards throughout your prison.
researchtooltip_bodyarmour              Equips all your Guards, Armed Guards and Dog Handlers with body armour. This can help absorb damage during a fight, but your guards will move slower.\n\nGuards must visit the armoury to get this equipment, and it will cost you for all body armour purchased this way.
researchtooltip_tazers                  Allows your Armed Guards to carry Tazers, a potent single-shot weapon that will render most targets unconscious instantly. Tazers can only be fired once before they need a full hour to recharge.\n\nArmed Guards must visit the armoury to get this equipment, and it will cost you for every tazer purchased this way.
researchtooltip_tazersforeveryone       Extends the Tazer program so that your regular Guards may also carry Tazers for defense.\n\nThey must visit the Armoury to get this equipment, and it will cost you for every tazer purchased this way.
researchtooltip_bankloans               Allows you to borrow large lump sums of money from the bank, in exchange for a daily payment of interest. Paying off your loans will increase your credit rating and allow you to borrow larger sums later.
researchtooltip_lowertaxes1             Takes advantage of government tax incentives and reduces your effective Corporation Tax rate to just 15%.\n\nYou will save $1,500 taxes per $10,000 of daily profit.
researchtooltip_lowertaxes2             Your accountant stretches the rules to breaking point, and moves all your official accounts and business processes to a foreign country with highly preferential tax rates. Your effective Corporation tax liability will drop to around 1%.\n\nYou will save a total of $3,000 taxes per $10,000 of daily profit.
researchtooltip_extragrant              Enables you to accept up to three grants simultaneously instead of two.
researchtooltip_advancedmanagement      Gives you the tools to micro manage aspects of your prison so they meet your exact requirements.\n\nUnlocks Food logistics, allowing you to specify which kitchens cook for which canteens, and which canteens inmates eat in.  Similarly, Laundry logistics lets you override which cell blocks are covered by which laundries.\n\nAlso unlocks the Deployment Scheduler, which lets you customise your guard deployment at different times of day.\n\nUnlocks the Reform Program Scheduler, letting you manually override the daily schedule of programs.
researchtooltip_permanentpunishment     Sometimes being in Prison just isn't locked away enough. Your lawyer can file the necessary papers to let you confine prisoners to a cell, permanently. 
researchtooltip_removemincellsize       The cells in your prison require a certain amount of space to fit legal requirements. But imagine how many more cells you could fit in if that wasn't the case! Removes the minimum size requirements for standard cells.
researchtooltip_reduceexecutionliability Your lawyer lobbies for a reduction in the required strength of the conviction before death row proceedings can be properly started. Essentially lowers the number of appeals a prisoner gets before you can schedule their execution without liability.
researchtooltip_legalprep               Every prison runs into problems every now and then, and some of them come with fairly big legal consequences. Your lawyer will start the paperwork to help keep the heat off you should something go wrong, but this needs to be done in advance.
researchtooltip_legaldefense            You're in a bad situation - something went terribly wrong and you've been put on notice. If it looks like you aren't going to be able to manage the situation, your lawyer can help get you off the hook. Completing this research will remove any current warnings that might otherwise result in you being fired.
researchtooltip_guardtowers             Unlocks Guard Towers and Snipers, allowing you to have highly trained marksmen keeping an eye on the outdoor areas of your prison.\n\nSnipers will need to visit an armoury to collect a rifle, otherwise they will be unarmed.

research_legaldefense_adviser1          It looks like your lawyer has filed some paperwork that is protecting you from the consequences of this mess. I guess that means I can't fire you. This time.
research_legaldefense_adviser2          Get your prison in order, quickly, and make sure it stays in line. That trick won't work again and it won't protect you forever.

research_missingadministrator           REQUIRED:



# =============================================================================
# Room Requirements
# =============================================================================

roomrequirement_required                REQUIRED:
roomrequirement_recommended             Recommended: 
roomrequirement_minimumsize             Minimum Size *W x *H
roomrequirement_minimumsize_short	Size *W x *H
roomrequirement_indoor                  Indoors
roomrequirement_outdoor                 Outdoor
roomrequirement_solidground             Solid Ground
roomrequirement_secure                  Secure (behind at least one Door)
roomrequirement_secure_short		Secure
roomrequirement_enclosed                Enclosed (surrounded by walls and doors)
roomrequirement_enclosed_short		Enclosed
requirement_entrance                    Requires Entrance
roomrequirement_title                   =[Room Requirements]=
roomrequirement_passed                  [PASSED] 
roomrequirement_failed                  [FAILED] 
roomrequirement_adjacentobject          Adjacent to Room: 

# =============================================================================
# Unlocks
# =============================================================================

unlock_title                            UNLOCKED

unlock_special_electricity              Electrical Systems
unlock_special_food                     Food Preparation
unlock_special_officersafety            Officer Safety
unlock_special_misbehavior              Misbehavior
unlock_special_accounting               Accounting
unlock_special_gangs                    Gangs

unlock_electricity_caption              Allows the construction of power stations and electrical cables, providing electricity to all devices that require it.


# =============================================================================
# Advisers
# =============================================================================

click_to_continue                       Click to Continue...
incoming_call                           Incoming Call...

adviser_name_unknown                    Unknown
adviser_name_ceo                        The CEO
adviser_name_warden                     The Warden
adviser_name_governer                   The Governor
adviser_name_chief                      The Chief
adviser_name_doctor                     The Doctor
adviser_name_kingpin                    The KingPin
adviser_name_edwardshooter              Edward
adviser_name_edwardsinner               Edward
adviser_name_edwardinmate               Edward
adviser_name_edwardswife                Edward's Wife Susan
adviser_name_priest                     The Priest
adviser_name_newsreader                 CNDC News
adviser_name_mayor 						Mayor Calvin Heller


# =============================================================================
# Valuation, Reports etc
# =============================================================================

report_staff                            Staff
report_prisoners                        Prisoners
report_jobs                             Jobs
report_needs                            Needs
report_threats                          Threats
report_regime                           Regime
report_policy                           Policy
report_grants                           Grants
report_finance                          Finance
report_valuation                        Valuation
report_contraband                       Contraband
report_programs                         Programs
report_schedule                         Scheduler
report_intake                           Intake

report_grants_bankloan                  Bank Loan
report_grants_bankloan_text             You can borrow a large lump sum from the bank. In return the bank will charge you interest each day which you must pay out of your cashflow.\n\nAs you make regular payments your credit rating will increase, and the bank will allow you to borrow more. However if you miss payments your credit rating will be decimated and the bank will refuse to lend you more when you need it.\n\nNote: Your loan will never be paid off by daily interest payments alone.  
report_grants_max1                      You can accept only one grant at a time.\nUse your accountant to raise this limit.
report_grants_max2                      You can accept no more than two grants at a time.\nUse your accountant to raise this limit.
report_grants_max3                      You can accept no more than three grants at a time.
report_grants_bankloan_amount           Current Bank Loan: *X
report_grants_bankloan_interest         Interest: *X per day
report_grants_bankloan_max              Maximum Loan: *X
report_grants_creditrating              Your Credit Rating: *X
report_grants_inprogress_tt             (IN PROGESS)
report_grants_completed_tt              (COMPLETED)
report_grants_locked_tt                 (LOCKED)
report_grants_advancepayment            *X Advance payment
report_grants_completionbonus           *X Completion bonus
report_grants_objectives                [Objectives]
report_grants_prereqs                   [Pre-requisites]
report_grants_completed                 COMPLETED
report_grants_locked                    Locked
report_grants_inprogress                In Progress
report_grants_hidden                    (*X more hidden)
report_grants_taptoaccept               TAP TO ACCEPT
report_grants_cancelfee                 Cancellation cost: *X

report_staff_title                      Total Staff: *X
report_prisoners_title                  Total Prisoners: *X
report_staff_group_builders             Workers
report_staff_group_guards               Guards
report_staff_group_staff                Staff
report_staff_group_administrators       Administrators
report_staff_group_prisoners            Prisoners
report_staff_group_prisoners_high       High Risk
report_staff_group_prisoners_normal     Normal Risk
report_staff_group_prisoners_low        Low Risk
report_staff_group_prisoners_protected  Protective Custody
report_staff_group_prisoners_supermax   SuperMax
report_staff_group_prisoners_deathrow   Death Row

report_staff_fire                       FIRE

report_intake_title                     Intake
report_intake_catheader_cat             Category
report_intake_catheader_pay             Payment
report_intake_catheader_available       Available
report_intake_catheader_amount          Ratio
report_intake_next_header               Next Intake : *X
report_intake_cat_minsec                Min Sec
report_intake_cat_normal                Med Sec
report_intake_cat_maxsec                Max Sec
report_intake_cat_deathrow              Death Row
report_intake_slider_minsec             Adjust the Min Sec intake ratio
report_intake_slider_normal             Adjust the Med Sec intake ratio
report_intake_slider_maxsec             Adjust the Max Sec intake ratio
report_intake_slider_deathrow           Adjust the Death Row intake ratio
report_intake_closed                    CLOSED
report_intake_locked                    LOCKED
report_intakeclosed                     Intake Closed
report_intakeclosed_tooltip             Your prisoner intake is closed. You will not receive any new prisoners until you open it again.
report_intakenumperday                  Daily Intake
report_intakenumperday_tooltip          The total number of prisoners you want delivered in the next intake. You can increase or decrease the number of prisoners you wish to receive in the next intake.\n\nThe number of prisoner from each category is adjusted with the sliders above.
report_intaketotalprisoners             Total Prisoners
report_intaketotalprisoners_tooltip     The total number of prisoners you want in your prison. Intake will automatically top up to this number each day.\n\nThe number of prisoner from each category is adjusted with the sliders above.
report_intakeallavailable               All Available
report_intakeallavailable_tooltip       All available prisoners, from all open intake pools, will be delivered in the next intake.
report_intakefillcapacity               Fill Capacity
report_intakefillcapacity_tooltip       Take as many prisoners as possible from available intake pools in order to fill your prison to capacity.\n\nThe number of prisoner from each category is adjusted with the sliders above.
reports_intaketypenone                  Closed
reports_intaketypefillcapacity          Fill Capacity
reports_intaketypetotalprisoners        Total Prisoners
reports_intaketypenumperday             Num Per Day
reports_intaketypeallavailable          All Available
report_intakemaxperdaydecr              <<
report_intakemaxperdayincr              >>
report_intakemaxperdaynone              None
report_intakemaxperdayall               All
reports_intakedelivernow                Deliver Now
report_intakepayment                    Payment
report_intakeall                        ALL
report_intakefill                       Fill to *X
report_intakefill_mothers               Fill to *X (Family Cells not counted)
report_intake_list_tooltip_title        Intake Categories
report_intake_list_tooltip              A list of all categories you can have delivered to your prison.\n\nThe pool size shows the total number of prisoners available to be delivered in each category. This number will grow over time depending on the ratio of the sliders.\n\nYou can adjust the sliders to change the ratio of prisoner categories you will receive in the next intake.
report_intake_list_tooltip_dr           \n\nDeathrow inmates require a specifically designated Deathrow cell before they are able to be transferred in to your prison. The Deathrow intake is also a lot slower than regular intake, and you won't always get an increase to the Deathrow pool. These inmates are few and far between.
report_intake_buttons_tooltip_title     Next Intake
report_intake_buttons_tooltip           You can increase or decrease the number of prisoners you wish to receive in the next intake using this section.\n\nSelecting "None" will close your prison to new prisoners, while selecting "All" will take the total number of available prisoners.\n\nThe number of prisoner from each category is adjusted with the sliders above.
report_intake_overview_tooltip_title    Intake Overview
report_intake_overview_tooltip          Here you can view your next prisoner delivery, and the payment you will receive. The number of prisoners being delivered, and their category, can be changed with the sliders and buttons above. The payment is based on the number of prisoners in each category.

valuation_categoryprison                Prison Value
valuation_construction                  Bricks and Mortar
valuation_objects                       Fixtures and Fittings
valuation_stock                         Stock and Materials
valuation_staff                         Staff
valuation_startupgrant                  Starting Grant
valuation_capacity                      Prisoner Capacity
valuation_cash                          Cash
valuation_debt                          Bank Loans
valuation_categoryperformance           Safety and Security
valuation_bonustimewithoutincident      [Bonus] Time without incident
valuation_finedeath                     [Penalty] Deaths in past 24h
valuation_fineescape                    [Penalty] Escapes in past 24h
valuation_total                         TOTAL
valuation_sell                          SELL
valuation_sellprison                    SELL PRISON
valuation_sell_tooltip                  Selling your prison will allow you to take the profits from this prison and start a new one with a much higher starting bank balance.\n\nYou will still be able to continue running this prison, but you can only sell a prison once. All profit from the sale will be transferred to your new site.
valuation_sold                          This prison was sold for: *X
valuation_donotown                      You cannot sell this prison as you do not own it.
valuation_sellsome                      Sell shares
valuation_buysome                       Buy shares
valuation_shares                        Buy and Sell Shares
valuation_shares_tooltip                You can sell up to 50% of your prison as shares to outside investors. You will be paid in cash immediately. In return for their investment, your shareholders will take their fraction of the total sale price when you sell your prison.\n\nEg if you sell 30% shares in your prison, you will only receive 70% of the final sale value. You can buy back shares you have previously sold at any time - although the cost may be higher than the sale price you received.
valuation_ownership                     You own *X% of your prison
valuation_saleprice                     Sale Price: *X
valuation_title                         =[VALUATION]=
valuation_totalprisonvalue              Total Prison Value : *X
valuation_subcashreserves               Minus Cash Reserves : *X
valuation_tenpercentprice               Price for 10% : *X
valuation_profit                        Your Profit : *X
valuation_tap_to_authorise              TAP TO AUTHORISE

salecondition_title                     SALE REQUIREMENTS
salecondition_cannotsell                You cannot sell your prison or trade in shares until the conditions below are met.
salecondition_minimumvalue              Minimum value of $50,000
salecondition_cashflow                  Positive cashflow
salecondition_accountant                Accountant on site
salecondition_minprisoners              At least 20 prisoners
salecondition_recentdeaths              No recent deaths
salecondition_recentescapes             No recent escapes
salecondition_passed                    [PASSED] 
salecondition_failed                    [FAILED] 

policy_title                            INCIDENT
policy_search                           - SEARCH -
policy_prisoner                         HIM
policy_prisoner_f                       HER
policy_cell                             CELL
policy_punishment                       PUNISHMENT
policy_quantity                         TIME
policy_punishmenttime                   *X hrs
policy_mealcost                         $*X / day
policy_totalmealcost                    (TOTAL: $*X / day)

job_construct                           Construct *X
job_installobject                       Install *X
job_installobjectinroom                 Install *X in *Y
job_moveobject                          Move *X
job_moveobjecttoroom                    Move *X to *Y
job_loadobjectinto                      Load *X Into *Y
job_storeobject                         Store *X in *Y
job_dismantleobject                     Dismantle *X
job_dumpobject                          Dump *X
job_repairobject                        Repair *X
job_operateequipment                    Operate *X
job_escortprisoner                      Escort Prisoner to *X
job_punishprisoner                      Process Prisoner
job_searchobject                        Search *X 
job_searchentity                        Search Prisoner
job_searchingentity						Searching Prisoner
job_searchcell                          Search Cell
job_searchcellblock                     Search Cell Block
job_improvecellindoor                   Clean indoor area
job_improvecelloutdoor                  Garden outdoor area
job_opendoor                            Open Locked Door
job_giveuniform                         Give Prisoner Uniform
job_failurecount                        Failed *X times
job_feedprisoner                        Feed Prisoner
job_healprisoner                        Heal Prisoner
job_delivermail                         Deliver Mail
       
finances_title                          Finances
finances_income                         Income
finances_expenses                       Expenses
finances_total                          Total
finances_profit                         Net
